"County","License Year","Hunting Season","Antlered","Antlerless","Total","Report Date and Time"
"Lapeer","2022","ALL","3,832","3,144","6,976","11/14/2023 09:06 PM"
"Leelanau","2022","ALL","743","571","1,314","11/14/2023 09:06 PM"
"Lenawee","2022","ALL","2,557","2,075","4,632","11/14/2023 09:06 PM"
"Livingston","2022","ALL","2,894","2,011","4,905","11/14/2023 09:06 PM"
"Luce","2022","ALL","294","21","315","11/14/2023 09:06 PM"
"Mackinac","2022","ALL","626","209","835","11/14/2023 09:06 PM"
"Macomb","2022","ALL","1,214","908","2,122","11/14/2023 09:06 PM"
"Manistee","2022","ALL","1,525","1,718","3,243","11/14/2023 09:06 PM"
"Marquette","2022","ALL","1,836","251","2,087","11/14/2023 09:06 PM"
"Mason","2022","ALL","2,150","2,577","4,727","11/14/2023 09:06 PM"
"Mecosta","2022","ALL","3,248","2,200","5,448","11/14/2023 09:06 PM"
"Menominee","2022","ALL","3,354","2,052","5,406","11/14/2023 09:06 PM"
"Midland","2022","ALL","2,481","1,824","4,305","11/14/2023 09:06 PM"
"Missaukee","2022","ALL","1,505","1,394","2,899","11/14/2023 09:06 PM"
"Monroe","2022","ALL","1,096","771","1,867","11/14/2023 09:06 PM"
"Montcalm","2022","ALL","4,797","3,306","8,103","11/14/2023 09:06 PM"
"Montmorency","2022","ALL","1,233","1,554","2,787","11/14/2023 09:06 PM"
"Muskegon","2022","ALL","1,750","1,170","2,920","11/14/2023 09:06 PM"
"Newaygo","2022","ALL","3,938","3,484","7,422","11/14/2023 09:06 PM"
"Oakland","2022","ALL","2,054","1,388","3,442","11/14/2023 09:06 PM"
"Oceana","2022","ALL","2,526","2,498","5,024","11/14/2023 09:06 PM"
"Ogemaw","2022","ALL","2,383","2,108","4,491","11/14/2023 09:06 PM"
"Ontonagon","2022","ALL","892","110","1,002","11/14/2023 09:06 PM"
"Osceola","2022","ALL","2,526","2,141","4,667","11/14/2023 09:06 PM"
"Oscoda","2022","ALL","1,073","1,334","2,407","11/14/2023 09:06 PM"
"Otsego","2022","ALL","1,064","817","1,881","11/14/2023 09:06 PM"
"Ottawa","2022","ALL","2,077","1,681","3,758","11/14/2023 09:06 PM"
"Presque Isle","2022","ALL","2,044","1,324","3,368","11/14/2023 09:06 PM"
"Roscommon","2022","ALL","1,510","1,407","2,917","11/14/2023 09:06 PM"
"Saginaw","2022","ALL","3,615","2,662","6,277","11/14/2023 09:06 PM"
"Sanilac","2022","ALL","4,399","3,751","8,150","11/14/2023 09:06 PM"
"Schoolcraft","2022","ALL","760","168","928","11/14/2023 09:06 PM"
"Shiawassee","2022","ALL","3,205","2,387","5,592","11/14/2023 09:06 PM"
"St. Clair","2022","ALL","3,525","2,614","6,139","11/14/2023 09:06 PM"
"St. Joseph","2022","ALL","1,778","1,757","3,535","11/14/2023 09:06 PM"
"Tuscola","2022","ALL","3,711","2,940","6,651","11/14/2023 09:06 PM"
"Van Buren","2022","ALL","2,543","1,978","4,521","11/14/2023 09:06 PM"
"Washtenaw","2022","ALL","2,698","2,191","4,889","11/14/2023 09:06 PM"
"Wayne","2022","ALL","356","193","549","11/14/2023 09:06 PM"
"Wexford","2022","ALL","1,208","1,144","2,352","11/14/2023 09:06 PM"
